E: -1083.319505 	H(E): 15633.000000 	ln(g(E)): 21686.776258
E: -1083.062183 	H(E): 19151.000000 	ln(g(E)): 21694.445654
E: -1082.804862 	H(E): 11507.000000 	ln(g(E)): 21699.757257
E: -1082.547540 	H(E): 9368.000000 	ln(g(E)): 21703.732464
E: -1082.290218 	H(E): 8081.000000 	ln(g(E)): 21707.215380
E: -1082.032897 	H(E): 7086.000000 	ln(g(E)): 21710.214931
E: -1081.775575 	H(E): 7101.000000 	ln(g(E)): 21712.859556
E: -1081.518253 	H(E): 6901.000000 	ln(g(E)): 21715.162512
E: -1081.260932 	H(E): 6002.000000 	ln(g(E)): 21717.183632
E: -1081.003610 	H(E): 6740.000000 	ln(g(E)): 21718.908817
E: -1080.746288 	H(E): 6581.000000 	ln(g(E)): 21720.374735
E: -1080.488967 	H(E): 6701.000000 	ln(g(E)): 21721.581758
E: -1080.231645 	H(E): 6570.000000 	ln(g(E)): 21722.592319
E: -1079.974323 	H(E): 6571.000000 	ln(g(E)): 21723.413538
E: -1079.717002 	H(E): 6837.000000 	ln(g(E)): 21724.074659
E: -1079.459680 	H(E): 6705.000000 	ln(g(E)): 21724.604883
E: -1079.202358 	H(E): 6780.000000 	ln(g(E)): 21725.002087
E: -1078.945037 	H(E): 6858.000000 	ln(g(E)): 21725.286182
E: -1078.687715 	H(E): 6694.000000 	ln(g(E)): 21725.468586
E: -1078.430393 	H(E): 6776.000000 	ln(g(E)): 21725.570499
E: -1078.173072 	H(E): 6907.000000 	ln(g(E)): 21725.581064
E: -1077.915750 	H(E): 6986.000000 	ln(g(E)): 21725.510445
E: -1077.658428 	H(E): 7203.000000 	ln(g(E)): 21725.368414
E: -1077.401107 	H(E): 6949.000000 	ln(g(E)): 21725.167959
E: -1077.143785 	H(E): 6696.000000 	ln(g(E)): 21724.905449
E: -1076.886463 	H(E): 6767.000000 	ln(g(E)): 21724.570406
E: -1076.629142 	H(E): 6675.000000 	ln(g(E)): 21724.176680
E: -1076.371820 	H(E): 6793.000000 	ln(g(E)): 21723.720049
E: -1076.114498 	H(E): 6735.000000 	ln(g(E)): 21723.210306
E: -1075.857177 	H(E): 6555.000000 	ln(g(E)): 21722.644407
E: -1075.599855 	H(E): 6629.000000 	ln(g(E)): 21722.033655
E: -1075.342533 	H(E): 6712.000000 	ln(g(E)): 21721.392387
E: -1075.085211 	H(E): 6645.000000 	ln(g(E)): 21720.715479
E: -1074.827890 	H(E): 6579.000000 	ln(g(E)): 21719.987246
E: -1074.570568 	H(E): 6287.000000 	ln(g(E)): 21719.254438
E: -1074.313246 	H(E): 6180.000000 	ln(g(E)): 21718.489319
E: -1074.055925 	H(E): 6146.000000 	ln(g(E)): 21717.711990
E: -1073.798603 	H(E): 6144.000000 	ln(g(E)): 21716.919701
E: -1073.541281 	H(E): 6610.000000 	ln(g(E)): 21716.109093
E: -1073.283960 	H(E): 6537.000000 	ln(g(E)): 21715.295160
E: -1073.026638 	H(E): 6177.000000 	ln(g(E)): 21714.466524
E: -1072.769316 	H(E): 6284.000000 	ln(g(E)): 21713.611057
E: -1072.511995 	H(E): 6269.000000 	ln(g(E)): 21712.748907
E: -1072.254673 	H(E): 6672.000000 	ln(g(E)): 21711.887535
E: -1071.997351 	H(E): 6738.000000 	ln(g(E)): 21710.965000
E: -1071.740030 	H(E): 7423.000000 	ln(g(E)): 21710.091822
E: -1071.482708 	H(E): 7272.000000 	ln(g(E)): 21709.324856
E: -1071.225386 	H(E): 7239.000000 	ln(g(E)): 21708.292688
E: -1070.968065 	H(E): 7886.000000 	ln(g(E)): 21707.287556
E: -1070.710743 	H(E): 8731.000000 	ln(g(E)): 21706.756723
E: -1070.453421 	H(E): 9585.000000 	ln(g(E)): 21705.515936
E: -1070.196100 	H(E): 9542.000000 	ln(g(E)): 21703.924660
E: -1069.938778 	H(E): 9492.000000 	ln(g(E)): 21704.267788
E: -1069.681456 	H(E): 8283.000000 	ln(g(E)): 21702.537863
E: -1069.424135 	H(E): 7557.000000 	ln(g(E)): 21700.333029
E: -1069.166813 	H(E): 7372.000000 	ln(g(E)): 21701.102520
E: -1068.909491 	H(E): 8230.000000 	ln(g(E)): 21699.598179
E: -1068.652170 	H(E): 6829.000000 	ln(g(E)): 21691.965204
E: -1068.394848 	H(E): 6621.000000 	ln(g(E)): 21695.417700
E: -1068.137526 	H(E): 7021.000000 	ln(g(E)): 21696.917582
