PFP client version: 1.6.1
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
  Supercell size: 5 × 4 × 1
  Number of atoms (perfect): 240
  Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
Estimating energy range ...
  NOTE: Energy range is estimated from imported structures!
  Energy range (min, max): -1083.319505, -1068.137526
Performing Wang-Landau MCMC sampling ...
  Number of energy states: 60
  Energy spacing (eV): 0.257322
  Histogram flatness threshold: 0.8
  Initial modification factor: 2.718282
  Modification factor threshold: 1.00e-06
  Number of F-iterations: 0 + 19
  F-Iteration: 0 	F = 2.718282
  F-Iteration: 0 	MC-Sweep: 0 	Time(s): 0.790765
  F-Iteration: 0 	MC-Sweep: 10000 	Time(s): 1509.705217
  F-Iteration: 0 	MC-Sweep: 20000 	Time(s): 3044.308340
  F-Iteration: 0 	MC-Sweep: 30000 	Time(s): 4669.767251
  F-Iteration: 0 	MC-Sweep: 40000 	Time(s): 6187.365988
  F-Iteration: 0 	MC-Sweep: 50000 	Time(s): 7695.855633
  F-Iteration: 0 	MC-Sweep: 60000 	Time(s): 9281.006598
  F-Iteration: 0 	MC-Sweep: 70000 	Time(s): 10915.763226
  F-Iteration: 0 	MC-Sweep: 80000 	Time(s): 12530.215145
  F-Iteration: 0 	MC-Sweep: 90000 	Time(s): 14168.729173
  F-Iteration: 0 	MC-Sweep: 100000 	Time(s): 15788.499744
  F-Iteration: 0 	MC-Sweep: 110000 	Time(s): 17340.711893
  F-Iteration: 0 	MC-Sweep: 120000 	Time(s): 18992.873611
  F-Iteration: 0 	MC-Sweep: 130000 	Time(s): 20631.056737
  F-Iteration: 0 	MC-Sweep: 140000 	Time(s): 22563.848133
  F-Iteration: 0 	MC-Sweep: 150000 	Time(s): 24215.146144
  F-Iteration: 0 	MC-Sweep: 160000 	Time(s): 25786.206207
  F-Iteration: 0 	MC-Sweep: 170000 	Time(s): 27364.844432
  F-Iteration: 0 	MC-Sweep: 180000 	Time(s): 28889.744709
  F-Iteration: 0 	MC-Sweep: 190000 	Time(s): 30403.277215
  F-Iteration: 0 	MC-Sweep: 200000 	Time(s): 31960.743772
  F-Iteration: 0 	MC-Sweep: 210000 	Time(s): 33577.917835
  F-Iteration: 0 	MC-Sweep: 220000 	Time(s): 35190.189560
  F-Iteration: 0 	MC-Sweep: 230000 	Time(s): 36761.244975
  F-Iteration: 0 	MC-Sweep: 240000 	Time(s): 38500.626856
  F-Iteration: 0 	MC-Sweep: 250000 	Time(s): 40362.998051
  F-Iteration: 0 	MC-Sweep: 260000 	Time(s): 42140.965649
  F-Iteration: 0 	MC-Sweep: 270000 	Time(s): 43823.452385
  F-Iteration: 0 	MC-Sweep: 280000 	Time(s): 45598.808020
  F-Iteration: 0 	MC-Sweep: 290000 	Time(s): 47181.507901
  F-Iteration: 0 	MC-Sweep: 300000 	Time(s): 48672.786408
  F-Iteration: 0 	MC-Sweep: 310000 	Time(s): 50160.145182
  F-Iteration: 0 	MC-Sweep: 320000 	Time(s): 51695.827388
  F-Iteration: 0 	MC-Sweep: 330000 	Time(s): 53256.878714
  F-Iteration: 0 	MC-Sweep: 340000 	Time(s): 54737.189110
  F-Iteration: 0 	MC-Sweep: 350000 	Time(s): 56182.110633
  F-Iteration: 0 	MC-Sweep: 360000 	Time(s): 57727.483542
  F-Iteration: 0 	MC-Sweep: 370000 	Time(s): 59183.347327
  F-Iteration: 0 	MC-Sweep: 380000 	Time(s): 60701.980545
  F-Iteration: 0 	MC-Sweep: 390000 	Time(s): 62200.256346
  F-Iteration: 0 	MC-Sweep: 400000 	Time(s): 63692.398430
  F-Iteration: 0 	MC-Sweep: 410000 	Time(s): 65216.157885
  F-Iteration: 0 	MC-Sweep: 420000 	Time(s): 66736.948235
  F-Iteration: 0 	MC-Sweep: 430000 	Time(s): 68202.305357
  F-Iteration: 0 	MC-Sweep: 440000 	Time(s): 69712.629357
  F-Iteration: 0 	MC-Sweep: 450000 	Time(s): 71224.442759
  F-Iteration: 0 	MC-Sweep: 460000 	Time(s): 72734.296512
  F-Iteration: 0 	MC-Sweep: 470000 	Time(s): 74171.569162
  F-Iteration: 0 	MC-Sweep: 480000 	Time(s): 75722.761263
  F-Iteration: 0 	MC-Sweep: 490000 	Time(s): 77299.636664
  F-Iteration: 0 	MC-Sweep: 500000 	Time(s): 78861.774411
  F-Iteration: 0 	MC-Sweep: 510000 	Time(s): 80505.351092
  F-Iteration: 0 	MC-Sweep: 520000 	Time(s): 81994.130286
  F-Iteration: 0 	MC-Sweep: 530000 	Time(s): 83453.485927
  F-Iteration: 0 	MC-Sweep: 540000 	Time(s): 85006.152872
  F-Iteration: 0 	MC-Sweep: 550000 	Time(s): 86428.972411
  F-Iteration: 0 	MC-Sweep: 560000 	Time(s): 87957.980236
  F-Iteration: 0 	MC-Sweep: 570000 	Time(s): 89525.381399
  F-Iteration: 0 	MC-Sweep: 580000 	Time(s): 91156.339035
  F-Iteration: 0 	MC-Sweep: 590000 	Time(s): 92859.301360
  F-Iteration: 0 	MC-Sweep: 600000 	Time(s): 94473.594675
  F-Iteration: 0 	MC-Sweep: 610000 	Time(s): 96048.687370
  F-Iteration: 0 	MC-Sweep: 620000 	Time(s): 97733.235776
  F-Iteration: 0 	MC-Sweep: 630000 	Time(s): 99216.444692
  F-Iteration: 0 	MC-Sweep: 632100 	Time(s): 99544.806133
  Cumulative number of energy calculations: 632104
  F-Iteration: 1 	F = 1.648721
  F-Iteration: 1 	MC-Sweep: 0 	Time(s): 99545.671666
  F-Iteration: 1 	MC-Sweep: 10000 	Time(s): 101179.645061
  F-Iteration: 1 	MC-Sweep: 20000 	Time(s): 102667.818852
  F-Iteration: 1 	MC-Sweep: 30000 	Time(s): 104100.929586
  F-Iteration: 1 	MC-Sweep: 40000 	Time(s): 105629.441750
  F-Iteration: 1 	MC-Sweep: 50000 	Time(s): 107235.281867
  F-Iteration: 1 	MC-Sweep: 60000 	Time(s): 108845.914690
  F-Iteration: 1 	MC-Sweep: 70000 	Time(s): 110434.421402
  F-Iteration: 1 	MC-Sweep: 80000 	Time(s): 112015.140329
  F-Iteration: 1 	MC-Sweep: 90000 	Time(s): 113567.737339
  F-Iteration: 1 	MC-Sweep: 100000 	Time(s): 115183.877575
