Executed on: 2023-09-26 01:12:58.547256
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM523 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.880780, 2.890300, 14.150000
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1083.319505, -1068.137526
    Number of energy states: 60
    Energy spacing (eV): 0.257322
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.742049
    -- MCMC Step: 00010000 	Time(s): 1976.437059
    -- MCMC Step: 00020000 	Time(s): 4159.396550
    -- MCMC Step: 00030000 	Time(s): 6297.671899
    -- MCMC Step: 00040000 	Time(s): 8407.133557
    -- MCMC Step: 00050000 	Time(s): 10658.327549
    -- MCMC Step: 00060000 	Time(s): 13969.985464
    -- MCMC Step: 00070000 	Time(s): 17287.487481
    -- MCMC Step: 00080000 	Time(s): 20837.561938
    -- MCMC Step: 00090000 	Time(s): 24412.963278
    -- MCMC Step: 00100000 	Time(s): 27888.060459
    -- MCMC Step: 00110000 	Time(s): 31238.208849
    -- MCMC Step: 00120000 	Time(s): 34542.948076
    -- MCMC Step: 00130000 	Time(s): 37888.279572
    -- MCMC Step: 00140000 	Time(s): 41212.548351
    -- MCMC Step: 00150000 	Time(s): 44497.636548
    -- MCMC Step: 00160000 	Time(s): 47827.613424
    -- MCMC Step: 00170000 	Time(s): 51199.429400
    -- MCMC Step: 00180000 	Time(s): 54564.169957
    -- MCMC Step: 00190000 	Time(s): 57984.309451
    -- MCMC Step: 00200000 	Time(s): 61398.048381
    -- MCMC Step: 00210000 	Time(s): 64808.842604
    -- MCMC Step: 00220000 	Time(s): 68264.511679
    -- MCMC Step: 00230000 	Time(s): 71699.276853
    -- MCMC Step: 00240000 	Time(s): 75093.536083
    -- MCMC Step: 00250000 	Time(s): 78406.402440
    -- MCMC Step: 00260000 	Time(s): 81767.763781
    -- MCMC Step: 00270000 	Time(s): 85486.218863
    -- MCMC Step: 00280000 	Time(s): 89574.401998
    -- MCMC Step: 00290000 	Time(s): 93374.518303
    -- MCMC Step: 00300000 	Time(s): 97447.782899
    -- MCMC Step: 00310000 	Time(s): 101573.039610
    -- MCMC Step: 00320000 	Time(s): 105678.594845
    -- MCMC Step: 00330000 	Time(s): 109996.282854
    -- MCMC Step: 00340000 	Time(s): 114390.826638
    -- MCMC Step: 00350000 	Time(s): 119018.636064
    -- MCMC Step: 00360000 	Time(s): 123705.388991
    -- MCMC Step: 00370000 	Time(s): 128393.860998
    -- MCMC Step: 00380000 	Time(s): 133156.612555
    -- MCMC Step: 00390000 	Time(s): 137837.079799
    -- MCMC Step: 00400000 	Time(s): 142554.488303
    -- MCMC Step: 00410000 	Time(s): 147229.277524
    -- MCMC Step: 00420000 	Time(s): 151957.829497
    -- MCMC Step: 00430000 	Time(s): 156658.681233
    -- MCMC Step: 00440000 	Time(s): 161315.999397
    -- MCMC Step: 00450000 	Time(s): 165977.123108
    -- MCMC Step: 00460000 	Time(s): 170658.306749
    -- MCMC Step: 00470000 	Time(s): 175277.854100
    -- MCMC Step: 00480000 	Time(s): 179771.843324
    -- MCMC Step: 00490000 	Time(s): 184248.250888
    -- MCMC Step: 00500000 	Time(s): 188605.967042
    -- MCMC Step: 00510000 	Time(s): 193200.626455
