Executed on: 2023-09-28 08:56:33.443213
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 1.000000
    Number of discrete structural parameters: 120
    Structural parameter spacing: 0.008403
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.799530
    -- MCMC Step: 00010000 	Time(s): 4279.054343
    -- MCMC Step: 00020000 	Time(s): 8571.973077
    -- MCMC Step: 00030000 	Time(s): 12792.616034
    -- MCMC Step: 00040000 	Time(s): 17071.105452
    -- MCMC Step: 00050000 	Time(s): 21311.384927
    -- MCMC Step: 00060000 	Time(s): 25534.534579
    -- MCMC Step: 00070000 	Time(s): 29737.059754
    -- MCMC Step: 00080000 	Time(s): 33998.502437
    -- MCMC Step: 00090000 	Time(s): 38226.546168
    -- MCMC Step: 00100000 	Time(s): 42473.754270
    -- MCMC Step: 00110000 	Time(s): 46776.794008
    -- MCMC Step: 00120000 	Time(s): 51041.562382
    -- MCMC Step: 00130000 	Time(s): 55409.072620
    -- MCMC Step: 00140000 	Time(s): 59740.107319
    -- MCMC Step: 00150000 	Time(s): 63807.763674
    -- MCMC Step: 00160000 	Time(s): 67918.600899
    -- MCMC Step: 00170000 	Time(s): 72003.204330
    -- MCMC Step: 00180000 	Time(s): 76218.126065
    -- MCMC Step: 00190000 	Time(s): 80342.962750
    -- MCMC Step: 00200000 	Time(s): 84645.127762
    -- MCMC Step: 00210000 	Time(s): 88920.267501
    -- MCMC Step: 00220000 	Time(s): 93153.124508
    -- MCMC Step: 00230000 	Time(s): 97387.943518
    -- MCMC Step: 00240000 	Time(s): 101559.474723
    -- MCMC Step: 00250000 	Time(s): 105753.485177
    -- MCMC Step: 00260000 	Time(s): 109929.864278
    -- MCMC Step: 00270000 	Time(s): 114088.324224
    -- MCMC Step: 00280000 	Time(s): 118267.167503
    -- MCMC Step: 00290000 	Time(s): 122436.151869
    -- MCMC Step: 00300000 	Time(s): 126592.747566
    -- MCMC Step: 00310000 	Time(s): 130770.758526
    -- MCMC Step: 00320000 	Time(s): 134981.146902
    -- MCMC Step: 00330000 	Time(s): 138966.858537
    -- MCMC Step: 00340000 	Time(s): 142853.906173
    -- MCMC Step: 00350000 	Time(s): 146586.760205
    CAUTION: New unstable configuration found! E -1064.823235
    CAUTION: New unstable configuration found! E -1064.817031
    -- MCMC Step: 00360000 	Time(s): 150254.441925
    -- MCMC Step: 00370000 	Time(s): 153849.029258
    -- MCMC Step: 00380000 	Time(s): 157420.046651
    -- MCMC Step: 00390000 	Time(s): 160984.754193
    -- MCMC Step: 00400000 	Time(s): 164547.506816
    -- MCMC Step: 00410000 	Time(s): 168136.958476
    -- MCMC Step: 00420000 	Time(s): 171753.529564
    -- MCMC Step: 00430000 	Time(s): 175361.350669
    -- MCMC Step: 00440000 	Time(s): 179010.936066
    -- MCMC Step: 00450000 	Time(s): 182659.606924
    -- MCMC Step: 00460000 	Time(s): 186284.670981
    -- MCMC Step: 00470000 	Time(s): 189982.601785
    -- MCMC Step: 00480000 	Time(s): 193626.042486
    -- MCMC Step: 00490000 	Time(s): 197392.596996
