Executed on: 2023-09-26 01:09:45.215259
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.906747
    -- MCMC Step: 00010000 	Time(s): 1950.475949
    -- MCMC Step: 00020000 	Time(s): 4066.186449
    -- MCMC Step: 00030000 	Time(s): 6094.308533
    -- MCMC Step: 00040000 	Time(s): 8053.621506
    -- MCMC Step: 00050000 	Time(s): 9995.894320
    -- MCMC Step: 00060000 	Time(s): 12836.381910
    -- MCMC Step: 00070000 	Time(s): 15943.534633
    -- MCMC Step: 00080000 	Time(s): 19031.604024
    -- MCMC Step: 00090000 	Time(s): 22422.836855
    -- MCMC Step: 00100000 	Time(s): 25700.329897
    -- MCMC Step: 00110000 	Time(s): 28786.954432
    -- MCMC Step: 00120000 	Time(s): 31811.189655
    -- MCMC Step: 00130000 	Time(s): 34792.527606
    -- MCMC Step: 00140000 	Time(s): 37804.960645
    -- MCMC Step: 00150000 	Time(s): 40843.000302
    -- MCMC Step: 00160000 	Time(s): 43826.339520
    -- MCMC Step: 00170000 	Time(s): 46749.914365
    -- MCMC Step: 00180000 	Time(s): 49696.173594
    -- MCMC Step: 00190000 	Time(s): 52694.144368
    -- MCMC Step: 00200000 	Time(s): 55679.904704
    -- MCMC Step: 00210000 	Time(s): 58649.683576
    -- MCMC Step: 00220000 	Time(s): 61625.774179
    -- MCMC Step: 00230000 	Time(s): 64625.404099
    -- MCMC Step: 00240000 	Time(s): 67608.982080
    -- MCMC Step: 00250000 	Time(s): 70584.830942
    -- MCMC Step: 00260000 	Time(s): 73542.809000
    -- MCMC Step: 00270000 	Time(s): 76577.371433
    -- MCMC Step: 00280000 	Time(s): 79698.966696
    -- MCMC Step: 00290000 	Time(s): 82903.570790
    -- MCMC Step: 00300000 	Time(s): 86490.046226
    -- MCMC Step: 00310000 	Time(s): 90311.125652
    -- MCMC Step: 00320000 	Time(s): 93936.509855
    -- MCMC Step: 00330000 	Time(s): 97752.562989
    -- MCMC Step: 00340000 	Time(s): 101668.986536
    -- MCMC Step: 00350000 	Time(s): 105562.647573
    -- MCMC Step: 00360000 	Time(s): 109675.034534
    -- MCMC Step: 00370000 	Time(s): 113883.975235
    -- MCMC Step: 00380000 	Time(s): 118093.134143
    -- MCMC Step: 00390000 	Time(s): 122331.636935
    -- MCMC Step: 00400000 	Time(s): 126553.202105
    -- MCMC Step: 00410000 	Time(s): 130717.861753
    -- MCMC Step: 00420000 	Time(s): 134913.066608
    -- MCMC Step: 00430000 	Time(s): 139052.953303
    -- MCMC Step: 00440000 	Time(s): 143214.256158
    -- MCMC Step: 00450000 	Time(s): 147348.524590
    -- MCMC Step: 00460000 	Time(s): 151531.163688
    -- MCMC Step: 00470000 	Time(s): 155684.651563
    -- MCMC Step: 00480000 	Time(s): 159837.738266
    -- MCMC Step: 00490000 	Time(s): 163969.715330
    -- MCMC Step: 00500000 	Time(s): 168231.393264
    -- MCMC Step: 00510000 	Time(s): 172607.673039
