Executed on: 2023-09-21 02:33:31.523557
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.504612
    -- MCMC Step: 00010000 	Time(s): 2246.389146
    -- MCMC Step: 00020000 	Time(s): 4569.553539
    -- MCMC Step: 00030000 	Time(s): 6634.622432
    -- MCMC Step: 00040000 	Time(s): 8754.527532
    -- MCMC Step: 00050000 	Time(s): 10991.729222
    -- MCMC Step: 00060000 	Time(s): 13185.537238
    -- MCMC Step: 00070000 	Time(s): 15373.187047
    -- MCMC Step: 00080000 	Time(s): 17653.684573
    -- MCMC Step: 00090000 	Time(s): 19876.383599
    -- MCMC Step: 00100000 	Time(s): 22147.198830
    -- MCMC Step: 00110000 	Time(s): 24439.958905
    -- MCMC Step: 00120000 	Time(s): 26976.588636
    -- MCMC Step: 00130000 	Time(s): 29510.114577
    -- MCMC Step: 00140000 	Time(s): 31922.927818
    -- MCMC Step: 00150000 	Time(s): 34333.985341
    -- MCMC Step: 00160000 	Time(s): 36737.327981
    -- MCMC Step: 00170000 	Time(s): 39114.760262
    -- MCMC Step: 00180000 	Time(s): 41464.950258
    -- MCMC Step: 00190000 	Time(s): 43824.848263
    -- MCMC Step: 00200000 	Time(s): 46214.414275
    -- MCMC Step: 00210000 	Time(s): 48615.285589
    -- MCMC Step: 00220000 	Time(s): 51055.611206
    -- MCMC Step: 00230000 	Time(s): 53447.349152
    -- MCMC Step: 00240000 	Time(s): 55893.846690
    -- MCMC Step: 00250000 	Time(s): 58280.836764
    -- MCMC Step: 00260000 	Time(s): 60688.328980
    -- MCMC Step: 00270000 	Time(s): 63077.861130
    -- MCMC Step: 00280000 	Time(s): 65448.816936
    -- MCMC Step: 00290000 	Time(s): 67836.860743
    -- MCMC Step: 00300000 	Time(s): 70249.526199
    -- MCMC Step: 00310000 	Time(s): 72666.509719
    -- MCMC Step: 00320000 	Time(s): 75092.493085
    -- MCMC Step: 00330000 	Time(s): 77539.825680
    -- MCMC Step: 00340000 	Time(s): 80004.343232
    -- MCMC Step: 00350000 	Time(s): 82514.492495
    -- MCMC Step: 00360000 	Time(s): 85052.302437
    -- MCMC Step: 00370000 	Time(s): 87490.674802
    -- MCMC Step: 00380000 	Time(s): 89494.677320
    -- MCMC Step: 00390000 	Time(s): 91646.301310
    -- MCMC Step: 00400000 	Time(s): 93913.736130
    -- MCMC Step: 00410000 	Time(s): 96408.543710
    -- MCMC Step: 00420000 	Time(s): 99206.276915
    -- MCMC Step: 00430000 	Time(s): 102024.779200
    -- MCMC Step: 00440000 	Time(s): 104707.965889
    -- MCMC Step: 00450000 	Time(s): 107326.288905
    -- MCMC Step: 00460000 	Time(s): 109956.576466
    -- MCMC Step: 00470000 	Time(s): 112638.061845
    -- MCMC Step: 00480000 	Time(s): 115316.592509
    -- MCMC Step: 00490000 	Time(s): 117991.151099
    -- MCMC Step: 00500000 	Time(s): 120668.057306
    -- MCMC Step: 00510000 	Time(s): 123310.706330
