Executed on: 2023-09-21 02:33:35.750182
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM622 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.873440, 2.877225, 14.130600
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1075.388829, -1064.828767
    Number of energy states: 60
    Energy spacing (eV): 0.178984
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.565722
    -- MCMC Step: 00010000 	Time(s): 2250.645637
    -- MCMC Step: 00020000 	Time(s): 4578.246519
    -- MCMC Step: 00030000 	Time(s): 6655.168376
    -- MCMC Step: 00040000 	Time(s): 8772.225511
    -- MCMC Step: 00050000 	Time(s): 11023.768721
    -- MCMC Step: 00060000 	Time(s): 13227.213860
    -- MCMC Step: 00070000 	Time(s): 15417.950326
    -- MCMC Step: 00080000 	Time(s): 17691.243953
    -- MCMC Step: 00090000 	Time(s): 19917.336011
    -- MCMC Step: 00100000 	Time(s): 22208.703800
    -- MCMC Step: 00110000 	Time(s): 24505.977098
    -- MCMC Step: 00120000 	Time(s): 27045.823007
    -- MCMC Step: 00130000 	Time(s): 29577.378741
    -- MCMC Step: 00140000 	Time(s): 32004.431325
    -- MCMC Step: 00150000 	Time(s): 34401.310952
    -- MCMC Step: 00160000 	Time(s): 36808.092053
    -- MCMC Step: 00170000 	Time(s): 39179.169031
    -- MCMC Step: 00180000 	Time(s): 41543.818487
    -- MCMC Step: 00190000 	Time(s): 43903.164537
    -- MCMC Step: 00200000 	Time(s): 46310.663868
    -- MCMC Step: 00210000 	Time(s): 48721.668223
    -- MCMC Step: 00220000 	Time(s): 51158.338317
    -- MCMC Step: 00230000 	Time(s): 53572.203659
    -- MCMC Step: 00240000 	Time(s): 56010.639640
    -- MCMC Step: 00250000 	Time(s): 58418.835082
    -- MCMC Step: 00260000 	Time(s): 60831.302490
    -- MCMC Step: 00270000 	Time(s): 63226.590382
    -- MCMC Step: 00280000 	Time(s): 65612.268885
    -- MCMC Step: 00290000 	Time(s): 68010.053714
    -- MCMC Step: 00300000 	Time(s): 70428.680392
    -- MCMC Step: 00310000 	Time(s): 72854.596847
    -- MCMC Step: 00320000 	Time(s): 75301.651248
    -- MCMC Step: 00330000 	Time(s): 77754.534857
    -- MCMC Step: 00340000 	Time(s): 80245.811954
    -- MCMC Step: 00350000 	Time(s): 82760.427576
    -- MCMC Step: 00360000 	Time(s): 85311.357757
    -- MCMC Step: 00370000 	Time(s): 87733.649809
    -- MCMC Step: 00380000 	Time(s): 89695.922877
    -- MCMC Step: 00390000 	Time(s): 91877.885188
    -- MCMC Step: 00400000 	Time(s): 94174.768768
    -- MCMC Step: 00410000 	Time(s): 96710.704647
    -- MCMC Step: 00420000 	Time(s): 99514.333898
    -- MCMC Step: 00430000 	Time(s): 102303.550799
    -- MCMC Step: 00440000 	Time(s): 104981.544880
    -- MCMC Step: 00450000 	Time(s): 107588.689718
    -- MCMC Step: 00460000 	Time(s): 110231.078991
    -- MCMC Step: 00470000 	Time(s): 112926.679271
    -- MCMC Step: 00480000 	Time(s): 115630.498763
    -- MCMC Step: 00490000 	Time(s): 118323.852395
    -- MCMC Step: 00500000 	Time(s): 121020.462717
    -- MCMC Step: 00510000 	Time(s): 123702.160948
