Executed on: 2023-09-18 02:40:43.125852
PFP client version: 1.11.0
Model version: v3.0.0
Calculation mode: CRYSTAL_PLUS_D3
Method type: PFVM
****************************************
Examining NCM811 ...
  Importing initial (known) stable/unstable structures ...
    Supercell size: 5 × 4 × 1
    Number of atoms (perfect): 240
    Cell parameters (a, b, c): 2.874400, 2.878125, 14.114900
    Structural parameter range (min, max): 0.000000, 0.500000
    Number of discrete structural parameters: 60
    Structural parameter spacing: 0.008475
  Importing energies and 1-D DOS from previous WL simlation ...
    Energy range (min, max): -1058.411566, -1054.392101
    Number of energy states: 60
    Energy spacing (eV): 0.068127
  Performing multicanonical Monte Carlo (MCMC) sampling ...
    Number of NNP-neighbors: 11400
    Maximum number of Monte Carlo steps: 10000000
    Trial move style: swap
    -- MCMC Step: 00000000 	Time(s): 0.638062
    -- MCMC Step: 00010000 	Time(s): 1596.031927
    -- MCMC Step: 00020000 	Time(s): 3246.406757
    -- MCMC Step: 00030000 	Time(s): 4886.842504
    -- MCMC Step: 00040000 	Time(s): 6498.993363
    -- MCMC Step: 00050000 	Time(s): 8178.391341
    -- MCMC Step: 00060000 	Time(s): 9781.441427
    -- MCMC Step: 00070000 	Time(s): 11407.161777
    -- MCMC Step: 00080000 	Time(s): 13150.592496
    -- MCMC Step: 00090000 	Time(s): 14755.157736
    -- MCMC Step: 00100000 	Time(s): 16415.885903
    -- MCMC Step: 00110000 	Time(s): 18049.567813
    -- MCMC Step: 00120000 	Time(s): 19681.412030
    -- MCMC Step: 00130000 	Time(s): 21402.871831
    -- MCMC Step: 00140000 	Time(s): 23094.996105
    -- MCMC Step: 00150000 	Time(s): 24776.469229
    -- MCMC Step: 00160000 	Time(s): 26434.999277
    -- MCMC Step: 00170000 	Time(s): 28095.503671
    -- MCMC Step: 00180000 	Time(s): 29733.003487
    -- MCMC Step: 00190000 	Time(s): 31418.203367
    -- MCMC Step: 00200000 	Time(s): 33120.154986
    -- MCMC Step: 00210000 	Time(s): 34808.932932
    -- MCMC Step: 00220000 	Time(s): 36515.542178
    -- MCMC Step: 00230000 	Time(s): 38213.585551
    -- MCMC Step: 00240000 	Time(s): 39891.494038
    -- MCMC Step: 00250000 	Time(s): 41531.840636
    -- MCMC Step: 00260000 	Time(s): 43195.474580
    -- MCMC Step: 00270000 	Time(s): 44762.488953
    -- MCMC Step: 00280000 	Time(s): 46363.698410
    -- MCMC Step: 00290000 	Time(s): 47991.077919
    -- MCMC Step: 00300000 	Time(s): 49625.755110
    -- MCMC Step: 00310000 	Time(s): 51248.277305
    -- MCMC Step: 00320000 	Time(s): 52932.966921
    -- MCMC Step: 00330000 	Time(s): 54607.693142
    -- MCMC Step: 00340000 	Time(s): 56215.939919
    -- MCMC Step: 00350000 	Time(s): 57851.454573
    -- MCMC Step: 00360000 	Time(s): 59448.648546
    -- MCMC Step: 00370000 	Time(s): 61079.654912
    -- MCMC Step: 00380000 	Time(s): 62734.990496
    -- MCMC Step: 00390000 	Time(s): 64335.845726
    -- MCMC Step: 00400000 	Time(s): 65957.078839
    -- MCMC Step: 00410000 	Time(s): 67558.916440
    -- MCMC Step: 00420000 	Time(s): 69215.754485
    -- MCMC Step: 00430000 	Time(s): 70837.903307
    -- MCMC Step: 00440000 	Time(s): 72529.717739
    -- MCMC Step: 00450000 	Time(s): 74113.398591
    -- MCMC Step: 00460000 	Time(s): 75715.921428
    -- MCMC Step: 00470000 	Time(s): 77369.994778
    -- MCMC Step: 00480000 	Time(s): 79096.123201
    -- MCMC Step: 00490000 	Time(s): 80776.745504
    -- MCMC Step: 00500000 	Time(s): 82417.626662
    -- MCMC Step: 00510000 	Time(s): 84118.201333
